timestamp,game_num,winner,score_diff,total_moves,loss
2025-09-02 21:16:48,46,W,-48.5,660,6.8365
2025-09-02 21:24:08,47,W,-44.5,436,6.7002
2025-09-02 21:33:37,48,W,-76.5,564,6.7617
2025-09-02 21:43:19,49,W,-43.5,577,6.7773
2025-09-02 21:52:55,50,W,-58.5,571,6.8385
2025-09-02 22:02:57,51,B,60.5,590,6.7466
2025-09-02 22:11:21,52,W,-62.5,499,6.7793
2025-09-02 22:27:11,53,W,-21.5,931,6.7161
2025-09-02 22:36:02,54,W,-9.5,527,6.7330
2025-09-02 22:47:00,55,B,5.5,651,6.7696
2025-09-02 22:58:07,56,W,-104.5,659,6.7545
2025-09-02 23:08:33,57,W,-6.5,668,6.5943
2025-09-02 23:14:02,58,W,-31.5,537,6.7611
2025-09-02 23:21:20,59,W,-43.5,697,6.7245
2025-09-02 23:28:21,60,W,-137.5,651,6.8026
2025-09-02 23:58:26,61,B,77.5,773,6.6906
2025-09-03 00:08:54,62,B,76.5,622,6.6474
2025-09-03 00:20:19,63,B,14.5,676,6.8224
2025-09-03 00:29:45,64,W,-44.5,560,6.7700
2025-09-03 00:39:31,65,W,-37.5,578,6.7534
2025-09-03 00:47:09,66,W,-25.5,455,6.7719
2025-09-03 01:13:41,67,W,-31.5,1346,6.6690
2025-09-03 01:28:36,68,W,-28.5,888,6.6904
2025-09-03 01:38:38,69,B,23.5,599,6.7588
2025-09-03 01:48:53,70,B,4.5,611,6.7345
2025-09-03 01:58:52,71,B,12.5,588,6.7734
2025-09-03 02:07:42,72,W,-38.5,525,6.6227
2025-09-03 02:15:42,73,W,-93.5,477,6.7191
2025-09-03 02:24:46,74,W,-43.5,541,6.7501
2025-09-03 02:34:02,75,W,-52.5,548,6.7441
2025-09-03 02:43:48,76,W,-18.5,579,6.6447
2025-09-03 02:52:01,77,W,-62.5,489,6.6956
2025-09-03 03:01:17,78,W,-5.5,551,6.7354
2025-09-03 03:09:49,79,B,22.5,508,6.7141
2025-09-03 03:17:26,80,W,-37.5,453,6.7565
2025-09-03 03:43:48,81,W,-21.5,567,6.6902
2025-09-03 03:51:58,82,W,-42.5,484,6.7483
2025-09-03 04:00:44,83,B,1.5,522,6.7375
2025-09-03 04:09:17,84,W,-97.5,508,6.7359
2025-09-03 04:18:16,85,W,-57.5,626,6.7557
2025-09-03 04:24:19,86,W,-0.5,578,6.7268
2025-09-03 04:30:47,87,W,-32.5,600,6.6829
2025-09-03 04:37:06,88,B,13.5,588,6.7443
2025-09-03 04:41:58,89,W,-44.5,474,6.6968
2025-09-03 04:51:58,90,W,-24.5,851,6.6471
2025-09-03 04:56:22,91,W,-52.5,439,6.7423
2025-09-03 05:03:08,92,W,-92.5,608,6.6864
2025-09-03 05:09:56,93,W,-35.5,610,6.7549
2025-09-03 05:15:28,94,W,-33.5,538,6.7142
2025-09-03 05:21:18,95,B,13.5,547,6.7566
2025-09-03 05:28:53,96,W,-81.5,643,6.6617
2025-09-03 05:35:19,97,W,-77.5,602,6.7446
2025-09-03 05:40:55,98,W,-75.5,546,6.7954
2025-09-03 05:47:15,99,W,-24.5,558,6.8029
2025-09-03 05:53:37,100,W,-21.5,579,6.7276
2025-09-03 06:31:21,101,B,19.5,410,6.7325
2025-09-03 06:40:39,102,W,-8.5,791,6.7545
2025-09-03 06:47:55,103,B,55.5,651,6.6567
2025-09-03 06:59:44,104,B,61.5,902,6.7500
2025-09-03 07:07:19,105,W,-5.5,657,6.6563
2025-09-03 07:13:45,106,B,24.5,595,6.5916
2025-09-03 07:20:31,107,W,-92.5,620,6.6670
2025-09-03 07:30:46,108,B,27.5,815,6.6990
2025-09-03 07:37:24,109,B,43.5,599,6.5874
2025-09-03 07:42:28,110,B,96.5,485,6.7117
2025-09-03 07:50:16,111,B,10.5,688,6.7190
2025-09-03 08:02:52,112,B,22.5,780,6.7689
2025-09-03 08:14:50,113,W,-26.5,713,6.7867
2025-09-03 08:19:44,114,W,-36.5,467,6.7402
2025-09-03 08:27:20,115,W,-100.5,651,6.6764
2025-09-03 08:35:20,116,W,-29.5,648,6.7030
2025-09-03 08:48:39,117,W,-23.5,1033,6.6968
2025-09-03 08:52:57,118,W,-12.5,429,6.7250
2025-09-03 08:59:15,119,B,57.5,593,6.6779
2025-09-03 09:04:47,120,B,16.5,536,6.6869
2025-09-03 09:48:23,121,W,-74.5,599,6.7461
2025-09-03 09:54:18,122,B,28.5,558,6.6488
2025-09-03 10:01:14,123,W,-10.5,629,6.5768
2025-09-03 10:07:01,124,W,-36.5,551,6.7063
2025-09-03 10:16:34,125,W,-2.5,790,6.7391
2025-09-03 10:22:41,126,B,9.5,581,6.6953
